Date,Team,Acquired,Relinquished,Notes
2021-12-03,Nets,David Duke Jr.,,returned to lineup
2021-12-03,Timberwolves,,Karl-Anthony Towns,tailbone injury (DTD)
2021-12-04,Hornets,Cody Martin,,returned to lineup
2021-12-04,Knicks,Jericho Sims,,returned to lineup
2021-12-04,Nets,,James Johnson,sore left shoulder (DTD)
2021-12-06,76ers,Tobias Harris,,returned to lineup
2021-12-06,Heat,,Udonis Haslem,gastrointestinal ailment (DTD)
2021-12-06,Nets,James Johnson,,returned to lineup
2021-12-06,Pistons,,Cory Joseph,right knee inflammation (DTD)
2021-12-06,Thunder,Kenrich Williams,,returned to lineup
2021-12-06,Timberwolves,Karl-Anthony Towns,,returned to lineup
2021-12-07,Blazers,,,collapsed right lung (out indefinitely)
2021-12-07,Pacers,,T.J. McConnell,surgery on right wrist (out indefinitely)
2021-12-08,Clippers,,Paul George,right elbow injury (DTD)
2021-12-08,Grizzlies,,Ja Morant,NBA health and safety protocols (DTD)
2021-12-08,Heat,Udonis Haslem,,returned to lineup
2021-12-08,Knicks,,Nerlens Noel,sore lower back (DTD)
2021-12-08,Pistons,Cory Joseph,,returned to lineup
2021-12-09,Pelicans,,Kira Lewis Jr.,torn ACL in right knee (out for season)
2021-12-10,Hornets,,Nick Richards,illness (DTD)
2021-12-10,Hornets,,P.J. Washington,illness (DTD)
2021-12-10,Knicks,Nerlens Noel,,returned to lineup
2021-12-10,Lakers,,Anthony Davis,sore left knee (DTD)
2021-12-10,Suns,,Deandre Ayton,illness (DTD)
2021-12-12,Hornets,Nick Richards,,returned to lineup
2021-12-13,76ers,,Joel Embiid,sore ribs (DTD)
2021-12-13,76ers,,Seth Curry,sore right shoulder (DTD)
2021-12-13,Hornets,P.J. Washington,,returned to lineup
2021-12-13,Warriors,,Andre Iguodala,right knee injury (DTD)
2021-12-14,Clippers,,Serge Ibaka,NBA health and safety protocols (DTD)
2021-12-14,Nets,,Bruce Brown,NBA health and safety protocols (DTD)
2021-12-14,Nets,,DeAndre' Bembry,NBA health and safety protocols (DTD)
2021-12-14,Nets,,Jevon Carter,NBA health and safety protocols (DTD)
2021-12-14,Raptors,,Dalano Banton,illness (DTD)
2021-12-14,Suns,Deandre Ayton,,returned to lineup
2021-12-14,Warriors,,Otto Porter Jr.,left foot injury (DTD)
2021-12-14,Warriors,Andre Iguodala,,returned to lineup
2021-12-15,76ers,Joel Embiid,,returned to lineup
2021-12-15,76ers,Seth Curry,,returned to lineup
2021-12-15,Blazers,,Dennis Smith Jr.,right knee injury (DTD)
2021-12-15,Cavaliers,,Evan Mobley,right hip injury (DTD)
2021-12-15,Heat,,Tyler Herro,bruised right quadriceps (DTD)
2021-12-15,Lakers,Anthony Davis,,returned to lineup
2021-12-15,Magic,,Gary Harris,left hamstring injury (DTD)
2021-12-15,Magic,,Mo Bamba,sprained right ankle (DTD)
2021-12-15,Pacers,,Torrey Craig,illness (DTD)
2021-12-16,76ers,,Tyrese Maxey,bruised left quadricep (DTD)
2021-12-16,Pacers,Torrey Craig,,returned to lineup
2021-12-16,Raptors,Dalano Banton,,returned to lineup
2021-12-17,Bucks,,Thanasis Antetokounmpo,strained right calf (DTD)
2021-12-17,Magic,,Cole Anthony,sprained right ankle (DTD)
2021-12-17,Magic,Gary Harris,,returned to lineup
2021-12-17,Nets,,Kevin Durant,sore right ankle (DTD)
2021-12-17,Warriors,Otto Porter Jr.,,returned to lineup
2021-12-18,Bucks,Thanasis Antetokounmpo,,returned to lineup
2021-12-18,Celtics,,Romeo Langford,neck injury (DTD)
2021-12-18,Knicks,,Derrick Rose,sore right ankle (DTD)
2021-12-18,Knicks,,Miles McBride,NBA health and safety protocols (DTD)
2021-12-18,Lakers,,Anthony Davis,sprained MCL in left knee (out indefinitely)
2021-12-18,Magic,,Wendell Carter Jr.,right leg injury (DTD)
2021-12-18,Warriors,,Andre Iguodala,right knee injury (DTD)
2021-12-18,Warriors,,Andrew Wiggins,sore left knee (DTD)
2021-12-19,Cavaliers,,Denzel Valentine,NBA health and safety protocols (DTD)
2021-12-19,Clippers,,Isaiah Hartenstein,sprained left ankle (DTD)
2021-12-19,Suns,Devin Booker,,returned to lineup
2021-12-19,Warriors,Andre Iguodala,,returned to lineup
2021-12-19,76ers,Grant Riller,,returned to lineup
2021-12-20,Celtics,Romeo Langford,,returned to lineup
2021-12-20,Heat,,P.J. Tucker,left leg injury (DTD)
2021-12-20,Hornets,,Gordon Hayward,back injury (DTD)
2021-12-21,Bulls,,Devon Dotson,NBA health and safety protocols (DTD)
2021-12-21,Heat,Tyler Herro,,returned to lineup
2021-12-21,Raptors,,Justin Champagnie,illness (DTD)
2021-12-22,76ers,Tyrese Maxey,,returned to lineup
2021-12-22,Bucks,,Grayson Allen,illness (DTD)
2021-12-22,Hornets,Gordon Hayward,,returned to lineup
2021-12-22,Pelicans,,Jonas Valanciunas,illness (DTD)
2021-12-23,Bucks,Grayson Allen,,returned to lineup
2021-12-23,Knicks,,Derrick Rose,surgery on right ankle (out for season)
2021-12-23,Magic,Cole Anthony,,returned to lineup
2021-12-23,Magic,Wendell Carter Jr.,,returned to lineup
2021-12-23,Mavericks,,Eugene Omoruyi,surgery on right toe (out indefinitely)
2021-12-23,Wizards,Rui Hachimura,,returned to lineup
2021-12-23,Pistons,,Isaiah Livers,conditioning (DTD)
2021-12-24,Nets,Bruce Brown,,returned to lineup
2021-12-24,Nets,DeAndre' Bembry,,returned to lineup
2021-12-25,Knicks,,Danuel House Jr.,finger injury (DTD)
2021-12-26,Suns,,Elfrid Payton,NBA health and safety protocols (DTD)
2021-12-26,Suns,,Ish Wainright,sore lower back (DTD)
2021-12-28,Nuggets,,Vlatko Cancar,illness (DTD)
2021-12-29,Knicks,,Evan Fournier,sore right ankle (DTD)
2021-12-30,Suns,Elfrid Payton,,returned to lineup
2021-12-31,Knicks,,Kemba Walker,sore left knee (DTD)
2021-12-31,Knicks,Evan Fournier,,returned to lineup
2021-12-31,Mavericks,,Frank Ntilikina,left thigh injury (DTD)
2022-01-01,Nuggets,Vlatko Cancar,,returned to lineup
