Date,Team,Acquired,Relinquished,Notes
2023-02-23,Hornets,Terry Rozier,,returned to lineup
2023-02-23,Spurs,,Jeremy Sochan,left quadriceps injury (DTD)
2023-02-25,Spurs,Jeremy Sochan,,returned to lineup
2023-02-27,Hornets,,LaMelo Ball,fractured right ankle (out indefinitely)
2023-02-28,Clippers,,Moussa Diabate,illness (DTD)
2023-02-28,Nets,,Yuta Watanabe,sore back (DTD)
2023-02-28,Pistons,,Isaiah Stewart,sore right hip (DTD)
2023-03-01,Nets,Yuta Watanabe,,returned to lineup
2023-03-02,Thunder,,Kenrich Williams,surgery on left wrist (out for season)
2023-03-03,Warriors,,Patrick Baldwin Jr.,sore right ankle (DTD)
2023-03-04,Timberwolves,,Austin Rivers,sore neck (DTD)
2023-03-05,Spurs,,Zach Collins,sore left ankle (DTD)
2023-03-06,76ers,,P.J. Tucker,back spasms (DTD)
2023-03-06,76ers,,Tobias Harris,left calf injury (DTD)
2023-03-06,Blazers,,Ibou Badji,arthroscopic surgery (patellar chondroplasty and debridement) on left knee (out indefinitely)
2023-03-06,Celtics,,Al Horford,lower back injury (DTD)
2023-03-06,Heat,Omer Yurtseven,,returned to lineup
2023-03-06,Pistons,,Killian Hayes,left hand injury (DTD)
2023-03-07,76ers,,James Harden,sore left foot (DTD)
2023-03-07,76ers,P.J. Tucker,,returned to lineup
2023-03-07,76ers,Tobias Harris,,returned to lineup
2023-03-07,Celtics,Al Horford,,returned to lineup
2023-03-07,Grizzlies,,Kennedy Chandler,illness (DTD)
2023-03-07,Timberwolves,Austin Rivers,,returned to lineup
2023-03-08,Raptors,,Will Barton,illness (DTD)
2023-03-08,Suns,,Kevin Durant,sprained left ankle (DTD)
2023-03-09,76ers,James Harden,,returned to lineup
2023-03-09,Pistons,Killian Hayes,,returned to lineup
2023-03-09,Spurs,Zach Collins,,returned to lineup
2023-03-10,Raptors,Will Barton,,returned to lineup
2023-03-11,Hornets,,Mark Williams,sprained right thumb (DTD)
2023-03-12,Hornets,,James Bouknight,sprained right ankle (DTD)
2023-03-12,Hornets,,Kelly Oubre Jr.,back injury (DTD)
2023-03-12,Pistons,,Marvin Bagley III,sore right ankle (DTD)
2023-03-13,Mavericks,,Christian Wood,sore right foot (DTD)
2023-03-13,Timberwolves,,Naz Reid,left calf injury (DTD)
2023-03-14,Hornets,Kelly Oubre Jr.,,returned to lineup
2023-03-14,Kings,,Richaun Holmes,illness (DTD)
2023-03-14,Pistons,,Isaiah Livers,right hip injury (DTD)
2023-03-14,Warriors,,Andre Iguodala,fractured left wrist (out for season)
2023-03-15,Mavericks,Christian Wood,,returned to lineup
2023-03-15,Spurs,,Devin Vassell,knee injury (DTD)
2023-03-15,Spurs,,Keita Bates-Diop,sore Achilles (DTD)
2023-03-15,Timberwolves,Naz Reid,,returned to lineup
2023-03-16,Bulls,,Lonzo Ball,surgery on left knee to transplant cartilage (out for season)
2023-03-16,Spurs,,Devonte' Graham,left quadriceps tendon injury (DTD)
2023-03-16,Spurs,Devin Vassell,,returned to lineup
2023-03-17,Spurs,Keita Bates-Diop,,returned to lineup
2023-03-18,Celtics,,Al Horford,lower back injury (DTD)
2023-03-18,Pacers,,Isaiah Jackson,sore right knee (DTD)
2023-03-19,Pistons,Marvin Bagley III,,returned to lineup
2023-03-20,Celtics,Al Horford,,returned to lineup
2023-03-20,Pacers,Isaiah Jackson,,returned to lineup
2023-03-20,Warriors,,Andre Iguodala,surgery on left wrist to repair fracture (out for season)
2023-03-21,Pistons,,Jalen Duren,cervical injury (DTD)
2023-03-21,Spurs,,Keldon Johnson,sore neck (DTD)
2023-03-22,Raptors,,Gary Trent Jr.,stiffness in right elbow (DTD)
2023-03-22,Raptors,,Precious Achiuwa,tightness in right hamstring (DTD)
2023-03-22,Raptors,,Scottie Barnes,sore left wrist (DTD)
2023-03-23,Knicks,,Jalen Brunson,sprained right hand (DTD)
2023-03-23,Pistons,,Rodney McGruder,sprained left foot (out for season)
2023-03-23,Pistons,Jalen Duren,,returned to lineup
2023-03-24,76ers,,Danuel House Jr.,sore right shoulder (DTD)
2023-03-24,Bulls,,Javonte Green,right knee injury (DTD)
2023-03-24,Celtics,,Malcolm Brogdon,sore lower back (DTD)
2023-03-24,Hornets,Mark Williams,,returned to lineup
2023-03-24,Lakers,,D'Angelo Russell,right hip injury (DTD)
2023-03-24,Pistons,,Cory Joseph,illness (DTD)
2023-03-24,Pistons,Isaiah Livers,,returned to lineup
2023-03-24,Spurs,,Devin Vassell,knee injury (DTD)
2023-03-24,Spurs,,Zach Collins,biceps injury (DTD)
2023-03-24,Spurs,Keldon Johnson,,returned to lineup
2023-03-25,Celtics,Malcolm Brogdon,,returned to lineup
2023-03-25,Spurs,Devin Vassell,,returned to lineup
2023-03-25,Spurs,Zach Collins,,returned to lineup
2023-03-26,Nets,,Royce O'Neale,sore left knee (DTD)
2023-03-26,Raptors,Precious Achiuwa,,returned to lineup
2023-03-26,Thunder,,Lindy Waters III,plantar fasciitis in foot (DTD)
2023-03-27,76ers,Danuel House Jr.,,returned to lineup
2023-03-27,Blazers,,Trendon Watford,sprained right ankle (DTD)
2023-03-27,Kings,,Neemias Queta,illness (DTD)
2023-03-27,Pistons,Cory Joseph,,returned to lineup
2023-03-28,Cavaliers,,Isaac Okoro,sore left knee (DTD)
2023-03-28,Cavaliers,,Jarrett Allen,strained right groin (DTD)
2023-03-28,Nets,Royce O'Neale,,returned to lineup
2023-03-29,Blazers,,Keon Johnson,fractured finger (out for season)
2023-03-29,Grizzlies,,John Konchar,left hip injury (DTD)
2023-03-29,Heat,,Kyle Lowry,sore right knee (DTD)
2023-03-29,Lakers,D'Angelo Russell,,returned to lineup
2023-03-29,Timberwolves,,Jaylen Nowell,left knee injury (DTD)
2023-03-30,Knicks,,DaQuan Jeffries,strained right calf (DTD)
2023-03-31,Blazers,,Ryan Arcidiacono,lumbar injury (DTD)
2023-03-31,Blazers,Trendon Watford,,returned to lineup
2023-04-01,Heat,Kyle Lowry,,returned to lineup
2023-04-02,Blazers,,Cam Reddish,back injury (out for season)
2023-04-02,Kings,,Malik Monk,lower leg injury (DTD)
2023-04-03,Pistons,,Marvin Bagley III,concussio protocols (DTD)
2023-04-04,Hornets,,Mark Williams,sprained right ankle (DTD)
2023-04-04,Kings,Malik Monk,,returned to lineup
2023-04-04,Spurs,,Zach Collins,lacerated finger (DTD)
2023-04-04,Thunder,,Aleksej Pokusevski,bruised left knee (DTD)
2023-04-05,Cavaliers,,Caris LeVert,sore right knee (DTD)
2023-04-05,Nets,,Dorian Finney-Smith,right wrist injury (DTD)
2023-04-05,Pistons,,Isaiah Livers,sprained right ankle (out for season)
2023-04-06,Blazers,,Shaedon Sharpe,left knee injury (DTD)
2023-04-06,Magic,,Franz Wagner,sprained left ankle (DTD)
2023-04-06,Spurs,,Devin Vassell,left knee injury (out for season)
2023-04-06,Spurs,Zach Collins,,returned to lineup
2023-04-06,Suns,,T.J. Warren,illness (DTD)
2023-04-07,Kings,,Malik Monk,lower leg injury (DTD)
2023-04-07,Lakers,,Dennis Schröder,neck spasms (DTD)
2023-04-07,Pistons,,Eugene Omoruyi,sprained left ankle (out for season)
2023-04-07,Pistons,Marvin Bagley III,,returned to lineup
2023-04-08,Blazers,,Drew Eubanks,sprained right ankle (out for season)
2023-04-08,Blazers,Shaedon Sharpe,,returned to lineup
2023-04-08,Jazz,,Collin Sexton,left hamstring injury (out for season)
2023-04-08,Spurs,,Keldon Johnson,sprained right foot (out for season)
2023-04-08,Spurs,,Zach Collins,lacerated finger (out for season)
2023-04-08,Suns,,Bismack Biyombo,bone bruise in right knee (DTD)
2023-04-08,Suns,,Cameron Payne,sore lower back (DTD)
2023-04-08,Wizards,,Daniel Gafford,ankle injury (out for season)
2023-04-08,Wizards,,Delon Wright,sore right knee (out for season)
2023-04-09,Grizzlies,,Tyus Jones,sore left foot (DTD)
2023-04-09,Kings,Malik Monk,,returned to lineup
2023-04-12,Pelicans,,Larry Nance Jr.,sore left ankle (out for season)
2023-04-15,Suns,Bismack Biyombo,,returned to lineup
2023-04-16,Grizzlies,Tyus Jones,,returned to lineup
2023-04-16,Heat,,Tyler Herro,fractured finger (out indefinitely)
2023-04-16,Lakers,Dennis Schröder,,returned to lineup
2023-04-20,76ers,,Danuel House Jr.,illness (DTD)
2023-04-23,Knicks,,Quentin Grimes,bruised right shoulder (DTD)
2023-04-27,Knicks,,Jericho Sims,surgery on right shoulder (out for season)
2023-04-28,Grizzlies,,Luke Kennard,sore left shoulder (out for season)
2023-04-30,Knicks,,Julius Randle,sprained left ankle (DTD)
2023-04-30,Knicks,Quentin Grimes,,returned to lineup
2023-05-02,Knicks,Julius Randle,,returned to lineup
2023-05-02,Suns,,Chris Paul,left groin injury (out for season)
2023-05-10,Knicks,,Evan Fournier,illness (out for season)
2023-05-11,Suns,,Deandre Ayton,bruised ribcage (out for season)
2023-08-02,76ers,,Montrezl Harrell,torn ACL in knee (out indefinitely)
2023-08-05,Nuggets,,Vlatko Cancar,torn ACL in left knee (out for season)
2023-08-17,Nuggets,,Vlatko Cancar,surgery on left knee to repair torn ACL (out for season)
2023-09-07,Pelicans,,Trey Murphy III,surgery on left knee to repair meniscus (out indefinitely)
2023-10-01,Wizards,,Landry Shamet,fractured big toe (out indefinitely)
2023-10-02,Grizzlies,,Brandon Clarke,recovering from torn left Achilles tendon (out indefinitely)
2023-10-02,Pistons,,Isaiah Livers,sprained left ankle (out indefinitely)
2023-10-02,Raptors,,Christian Koloko,respiratory ailment (out indefinitely)
2023-10-08,Celtics,,Jay Scrubb,torn ACL in knee (out for season)
2023-10-10,Hornets,,James Bouknight,surgery on left knee (out indefinitely)
2023-10-12,Wizards,,Anthony Gill,left hamstring injury (out indefinitely)
2023-10-23,Lakers,,Jarred Vanderbilt,sore left heel (DTD)
2023-10-24,Lakers,,Jalen Hood-Schifino,bruised right knee (DTD)
2023-10-24,Magic,,Kevon Harris,sore knee (DTD)
2023-10-24,Nuggets,,Jay Huff,fractured right rib (out indefinitely)
2023-10-24,Rockets,,Victor Oladipo,patellar injury in knee (DTD)
2023-10-24,Suns,,Saben Lee,surgery on right knee (out indefinitely)
2023-10-25,Clippers,,B.J. Boston Jr.,quadriceps injury (DTD)
2023-10-25,Hornets,,Bryce McGowens,ankle injury (DTD)
2023-10-25,Kings,,Jalen Slawson,illness (DTD)
2023-10-25,Mavericks,,Dwight Powell,illness (DTD)
2023-10-25,Mavericks,,Jaden Hardy,sprained left ankle (DTD)
2023-10-25,Nets,,Dariq Whitehead,right foot injury (out indefinitely)
2023-10-27,Heat,,Caleb Martin,left knee tendinosis (DTD)
2023-10-27,Hornets,Bryce McGowens,,returned to lineup
2023-10-27,Kings,Jalen Slawson,,returned to lineup
2023-10-27,Mavericks,Dwight Powell,,returned to lineup
2023-10-27,Mavericks,Jaden Hardy,,returned to lineup
2023-10-27,Nets,,Cameron Johnson,bruised left calf (DTD)
2023-10-27,Rockets,,Nate Hinton,sprained right ankle (DTD)
2023-10-28,Wizards,Anthony Gill,,returned to lineup
2023-10-29,Rockets,Nate Hinton,,returned to lineup
2023-10-30,Bucks,,MarJon Beauchamp,illness (DTD)
2023-10-30,Celtics,,Neemias Queta,sore right foot (DTD)
2023-10-30,Pelicans,,Brandon Ingram,sore knee (DTD)
2023-10-31,Magic,Kevon Harris,,returned to lineup
2023-10-31,Nuggets,Jay Huff,,returned to lineup
2023-11-01,Knicks,,R.J. Barrett,knee injury (DTD)
2023-11-01,Lakers,,Taurean Prince,sore left knee (DTD)
2023-11-02,Magic,,Markelle Fultz,left knee injury (DTD)
2023-11-03,Mavericks,,Markieff Morris,illness (DTD)
2023-11-03,Nets,Dariq Whitehead,,returned to lineup
2023-11-05,Grizzlies,,Xavier Tillman,sore left knee (DTD)
2023-11-05,Mavericks,Markieff Morris,,returned to lineup
2023-11-05,Pistons,,Jaden Ivey,illness (DTD)
2023-11-06,Pistons,,Jalen Duren,ankle injury (DTD)
2023-11-06,Pistons,,Joe Harris,sprained right shoulder (DTD)
2023-11-08,Lakers,,Anthony Davis,left adductor injury (DTD)
2023-11-08,Mavericks,,Dereck Lively II,illness (DTD)
2023-11-08,Pistons,Jalen Duren,,returned to lineup
2023-11-09,Hawks,,Mouhamed Gueye,strained lower back (DTD)
2023-11-09,Pacers,,Jalen Smith,sore lower back (DTD)
2023-11-10,Lakers,Anthony Davis,,returned to lineup
2023-11-10,Mavericks,Dereck Lively II,,returned to lineup
2023-11-10,Nets,Cameron Johnson,,returned to lineup
2023-11-11,Magic,,Markelle Fultz,left knee tendinitis (DTD)
2023-11-11,Pistons,,Jalen Duren,sore right ankle (DTD)
2023-11-12,Pacers,Jalen Smith,,returned to lineup
2023-11-12,Pistons,Jaden Ivey,,returned to lineup
2023-11-13,Knicks,,R.J. Barrett,migraine headache (DTD)
2023-11-14,Spurs,,Sandro Mamukelashvili,tightness in mid-back (DTD)
2023-11-15,Celtics,Neemias Queta,,returned to lineup
2023-11-17,Blazers,,Ish Wainright,sprained MCL in left knee (DTD)
2023-11-17,Lakers,Jalen Hood-Schifino,,returned to lineup
2023-11-17,Magic,,Jalen Suggs,sore left knee (DTD)
2023-11-17,Spurs,Sandro Mamukelashvili,,returned to lineup
2023-11-18,Grizzlies,,Jake LaRavia,left eye injury (DTD)
2023-11-18,Knicks,R.J. Barrett,,returned to lineup
2023-11-19,Cavaliers,,Caris LeVert,sore left knee (DTD)
2023-11-19,Magic,Jalen Suggs,,returned to lineup
2023-11-19,Nets,,Dennis Smith Jr.,sore lower back (DTD)
2023-11-19,Pistons,,Killian Hayes,sprained left shoulder (DTD)
2023-11-19,Raptors,,Javon Freeman-Liberty,sprained left ankle (DTD)
2023-11-20,Kings,,Sasha Vezenkov,left thumb injury (DTD)
2023-11-20,Pistons,Killian Hayes,,returned to lineup
2023-11-21,Kings,Sasha Vezenkov,,returned to lineup
2023-11-21,Raptors,Javon Freeman-Liberty,,returned to lineup
2023-11-22,Blazers,,Deandre Ayton,sore back (DTD)
2023-11-22,Cavaliers,Caris LeVert,,returned to lineup
2023-11-22,Heat,,Bam Adebayo,bruised hip (DTD)
2023-11-23,Pistons,Jalen Duren,,returned to lineup
2023-11-24,Bulls,Zach LaVine,,returned to lineup
2023-11-24,Heat,Bam Adebayo,,returned to lineup
2023-11-25,Heat,,Jimmy Butler,sprained right ankle (DTD)
2023-11-26,Blazers,Deandre Ayton,,returned to lineup
2023-11-26,Hornets,P.J. Washington,,returned to lineup
2023-11-26,Knicks,,Duane Washington Jr.,right thumb injury (DTD)
2023-11-26,Magic,,Jonathan Isaac,sore left ankle (DTD)
2023-11-26,Nets,,Nic Claxton,sprained left ankle (DTD)
2023-11-28,Heat,,Haywood Highsmith,back injury (DTD)
2023-11-28,Nets,Nic Claxton,,returned to lineup
2023-11-28,Warriors,,Usman Garuba,dislocated right finger (DTD)
2023-11-29,76ers,,Joel Embiid,illness (DTD)
2023-11-30,Heat,Haywood Highsmith,,returned to lineup
2023-11-30,Heat,Jimmy Butler,,returned to lineup
2023-11-30,Hornets,,Brandon Miller,sprained left ankle (DTD)
2023-11-30,Lakers,,Cam Reddish,right groin injury (DTD)
2023-11-30,Nets,,Royce O'Neale,bruised left hip (DTD)
2023-11-30,Spurs,,Doug McDermott,illness (DTD)
2023-12-01,76ers,,Nicolas Batum,right finger injury (DTD)
2023-12-01,76ers,,Tyrese Maxey,illness (DTD)
2023-12-01,Cavaliers,,Caris LeVert,left knee injury (DTD)
2023-12-01,Magic,Jonathan Isaac,,returned to lineup
2023-12-01,Nets,,Lonnie Walker IV,strained left hamstring (DTD)
2023-12-01,Nets,Royce O'Neale,,returned to lineup
2023-12-01,Pelicans,,Jose Alvarado,sprained right ankle (DTD)
2023-12-02,Hornets,Brandon Miller,,returned to lineup
2023-12-02,Lakers,Cam Reddish,,returned to lineup
2023-12-02,Nets,,Dorian Finney-Smith,sore right knee (DTD)
2023-12-02,Pelicans,Jose Alvarado,,returned to lineup
2023-12-04,76ers,Tyrese Maxey,,returned to lineup
2023-12-04,Blazers,,Jerami Grant,concussion protocols (DTD)
2023-12-05,76ers,Nicolas Batum,,returned to lineup
2023-12-05,Heat,,Haywood Highsmith,bruised lower back (DTD)
2023-12-05,Nets,Dorian Finney-Smith,,returned to lineup
2023-12-08,Hornets,,Nick Smith Jr.,sprained right ankle (DTD)
2023-12-08,Nets,,Dennis Smith Jr.,bruised back (DTD)
2023-12-08,Warriors,,Chris Paul,illness (DTD)
2023-12-10,Knicks,,Mitchell Robinson,left ankle inflammation (DTD)
2023-12-11,Bulls,,Alex Caruso,sprained left ankle (DTD)
2023-12-11,Clippers,B.J. Boston Jr.,,returned to lineup
2023-12-11,Jazz,,Walker Kessler,sore right foot (DTD)
2023-12-11,Knicks,,Immanuel Quickley,right knee inflammation (DTD)
2023-12-11,Pistons,,Marvin Bagley III,lower back spasms (DTD)
2023-12-11,Warriors,Chris Paul,,returned to lineup
2023-12-12,Clippers,,B.J. Boston Jr.,illness (DTD)
2023-12-12,Lakers,,Jarred Vanderbilt,lower back spasms (DTD)
2023-12-13,Jazz,Walker Kessler,,returned to lineup
2023-12-13,Knicks,Immanuel Quickley,,returned to lineup
2023-12-13,Lakers,,LeBron James,bruised left calf (DTD)
2023-12-13,Lakers,Jarred Vanderbilt,,returned to lineup
2023-12-14,Bulls,Alex Caruso,,returned to lineup
2023-12-14,Celtics,,Luke Kornet,left adductor injury (DTD)
2023-12-14,Clippers,B.J. Boston Jr.,,returned to lineup
2023-12-14,Warriors,Usman Garuba,,returned to lineup
2023-12-15,Cavaliers,,Evan Mobley,surgery on left knee (out indefinitely)
2023-12-15,Celtics,,Kristaps Porzingis,left calf injury (DTD)
2023-12-15,Lakers,,Anthony Davis,left adductor injury (DTD)
2023-12-15,Lakers,,Cam Reddish,sore right knee (DTD)
2023-12-15,Lakers,,D'Angelo Russell,migraine headache (DTD)
2023-12-15,Lakers,LeBron James,,returned to lineup
2023-12-15,Spurs,,Tre Jones,illness (DTD)
2023-12-16,Bulls,,Alex Caruso,sprained left ankle (DTD)
2023-12-16,Celtics,Kristaps Porzingis,,returned to lineup
2023-12-16,Hawks,,Bogdan Bogdanovic,sprained right ankle (DTD)
2023-12-16,Nets,,Dorian Finney-Smith,sore left knee (DTD)
2023-12-16,Pistons,,Isaiah Stewart,sprained left shoulder (DTD)
2023-12-16,Pistons,Marvin Bagley III,,returned to lineup
2023-12-17,Lakers,Cam Reddish,,returned to lineup
2023-12-17,Magic,,Joe Ingles,sprained left ankle (DTD)
2023-12-17,Spurs,Tre Jones,,returned to lineup
2023-12-18,Bulls,,Torrey Craig,heel injury (out indefinitely)
2023-12-18,Bulls,Alex Caruso,,returned to lineup
2023-12-18,Grizzlies,,Bismack Biyombo,sore back (DTD)
2023-12-18,Lakers,Anthony Davis,,returned to lineup
2023-12-18,Lakers,D'Angelo Russell,,returned to lineup
2023-12-18,Nets,Dorian Finney-Smith,,returned to lineup
2023-12-18,Pacers,,Myles Turner,hamstring injury (DTD)
2023-12-18,Pistons,,Killian Hayes,illness (DTD)
2023-12-19,Bulls,,Henri Drell,sprained right thumb (DTD)
2023-12-19,Grizzlies,Bismack Biyombo,,returned to lineup
2023-12-20,Hawks,Bogdan Bogdanovic,,returned to lineup
2023-12-20,Pacers,Myles Turner,,returned to lineup
2023-12-21,Pelicans,,Cody Zeller,sprained right ankle (DTD)
2023-12-21,Pelicans,,Zion Williamson,illness (DTD)
2023-12-21,Pistons,Isaiah Stewart,,returned to lineup
2023-12-22,76ers,,De'Anthony Melton,bruised left thigh (DTD)
2023-12-22,76ers,,Patrick Beverley,sore right heel (DTD)
2023-12-23,Cavaliers,,Caris LeVert,left knee tendinitis (DTD)
2023-12-23,Cavaliers,,Sam Merrill,sore right wrist (DTD)
2023-12-23,Hornets,,Terry Rozier,sore right knee (DTD)
2023-12-23,Pacers,,Bruce Brown,bruised right knee (DTD)
2023-12-23,Pelicans,Zion Williamson,,returned to lineup
2023-12-23,Spurs,,Victor Wembanyama,sprained right ankle (DTD)
2023-12-24,76ers,De'Anthony Melton,,returned to lineup
2023-12-25,76ers,Patrick Beverley,,returned to lineup
2023-12-25,Hornets,Terry Rozier,,returned to lineup
2023-12-25,Lakers,,Gabe Vincent,surgery on left knee (out indefinitely)
2023-12-26,Grizzlies,,John Konchar,illness (DTD)
2023-12-26,Spurs,Victor Wembanyama,,returned to lineup
2023-12-27,Cavaliers,Caris LeVert,,returned to lineup
2023-12-27,Spurs,,Devonte' Graham,illness (DTD)
2023-12-28,Blazers,,Anfernee Simons,illness (DTD)
2023-12-28,Blazers,,Duop Reath,sore lower back (DTD)
2023-12-28,Grizzlies,,Ja Morant,illness (DTD)
2023-12-28,Grizzlies,,Santi Aldama,illness (DTD)
2023-12-28,Grizzlies,John Konchar,,returned to lineup
2023-12-28,Pistons,Killian Hayes,,returned to lineup
2023-12-29,Cavaliers,Sam Merrill,,returned to lineup
2023-12-29,Celtics,,Jayson Tatum,sprained left ankle (DTD)
2023-12-29,Grizzlies,,John Konchar,illness (DTD)
2023-12-29,Grizzlies,Ja Morant,,returned to lineup
2023-12-29,Grizzlies,Santi Aldama,,returned to lineup
2023-12-29,Magic,,Wendell Carter Jr.,right knee tendinitis (DTD)
2023-12-30,Bulls,Henri Drell,,returned to lineup
2023-12-30,Celtics,Jayson Tatum,,returned to lineup
2023-12-30,Mavericks,,Seth Curry,illness (DTD)
2023-12-31,Grizzlies,John Konchar,,returned to lineup
2023-12-31,Lakers,,Cam Reddish,left groin injury (DTD)
2023-12-31,Lakers,,D'Angelo Russell,bruised tailbone (DTD)
2023-12-31,Magic,Wendell Carter Jr.,,returned to lineup
2024-01-01,Blazers,,Toumani Camara,sore right knee (DTD)
2024-01-01,Mavericks,Seth Curry,,returned to lineup
2024-01-02,Hornets,,Brandon Miller,bruised left hip (DTD)
2024-01-02,Lakers,,Rui Hachimura,strained left calf (DTD)
2024-01-03,Blazers,Toumani Camara,,returned to lineup
2024-01-03,Grizzlies,,Derrick Rose,strained left hamstring (DTD)
2024-01-03,Lakers,Cam Reddish,,returned to lineup
2024-01-03,Nets,,Dennis Smith Jr.,sore lower back (DTD)
2024-01-03,Pacers,,Andrew Nembhard,back injury (DTD)
2024-01-03,Pelicans,,Jeremiah Robinson-Earl,illness (DTD)
2024-01-04,Hornets,Brandon Miller,,returned to lineup
2024-01-04,Spurs,,Malaki Branham,sprained right ankle (DTD)
2024-01-04,Hawks,,Vit Krejci,left shoulder sublaxation (DTD)
2024-01-05,Bulls,,Alex Caruso,cervical injury (DTD)
2024-01-05,Magic,,Goga Bitadze,illness (DTD)
2024-01-05,Magic,,Wendell Carter Jr.,right knee tendinitis (DTD)
2024-01-05,Nets,Dennis Smith Jr.,,returned to lineup
2024-01-05,Pelicans,Jeremiah Robinson-Earl,,returned to lineup
2024-01-05,Raptors,,Gary Trent Jr.,bruised left quadriceps (DTD)
2024-01-06,76ers,,Joel Embiid,left knee injury (DTD)
2024-01-07,Magic,Goga Bitadze,,returned to lineup
2024-01-07,Raptors,Gary Trent Jr.,,returned to lineup
2024-01-07,Spurs,Malaki Branham,,returned to lineup
2024-01-08,Blazers,,Moses Brown,surgery on left wrist to repair non-displaced fracture (out indefinitely) (date approximate)
2024-01-08,Bulls,Alex Caruso,,returned to lineup
2024-01-08,Grizzlies,,Ja Morant,surgery on right shoulder to repair labrum (out for season)
2024-01-09,Grizzlies,,Santi Aldama,bruised left knee (DTD)
2024-01-09,Nets,,Day'Ron Sharpe,hyperextended left knee (DTD)
2024-01-09,Magic,,Wendell Carter Jr.,right knee tendinitis (DTD)
2024-01-10,Pacers,,Jalen Smith,sore lower back (DTD)
2024-01-10,Raptors,,Pascal Siakam,back spasms (DTD)
2024-01-11,Lakers,,Christian Wood,migraine headache (DTD)
2024-01-12,76ers,,Kelly Oubre Jr.,right big toe injury (DTD)
2024-01-12,Pacers,Jalen Smith,,returned to lineup
2024-01-12,Raptors,Pascal Siakam,,returned to lineup
2024-01-13,Bulls,,Patrick Williams,sprained right ankle (DTD)
2024-01-13,Grizzlies,,Desmond Bane,sprained left ankle (out indefinitely)
2024-01-13,Grizzlies,,Jaren Jackson Jr.,bruised right knee (DTD)
2024-01-13,Knicks,,Jalen Brunson,bruised left calf (DTD)
2024-01-13,Lakers,Christian Wood,,returned to lineup
2024-01-13,Pelicans,,Trey Murphy III,left knee tendinitis (DTD)
2024-01-14,76ers,Kelly Oubre Jr.,,returned to lineup
2024-01-14,Blazers,,Jerami Grant,illness (DTD)
2024-01-14,Blazers,,Malcolm Brogdon,groin injury (DTD)
2024-01-14,Blazers,,Matisse Thybulle,illness (DTD)
2024-01-14,Clippers,,Ivica Zubac,right calf injury (DTD)
2024-01-14,Grizzlies,,Jake LaRavia,sprained left ankle (DTD)
2024-01-14,Heat,,Kevin Love,bruised left knee (DTD)
2024-01-14,Hornets,,Brandon Miller,bruised lower back (DTD)
2024-01-15,Grizzlies,Jaren Jackson Jr.,,returned to lineup
2024-01-15,Grizzlies,Santi Aldama,,returned to lineup
2024-01-15,Magic,Wendell Carter Jr.,,returned to lineup
2024-01-15,Pacers,,Bruce Brown,bruised right knee (DTD)
2024-01-15,Pelicans,Trey Murphy III,,returned to lineup
2024-01-15,Raptors,,Gradey Dick,sprained right thumb (DTD)
2024-01-15,Nets,,Dariq Whitehead,right foot injury (DTD)
2024-01-16,76ers,,Danuel House Jr.,lumbar spine injury (DTD)
2024-01-16,Blazers,Jerami Grant,,returned to lineup
2024-01-16,Blazers,Matisse Thybulle,,returned to lineup
2024-01-16,Suns,,Yuta Watanabe,illness (DTD)
2024-01-17,Blazers,Malcolm Brogdon,,returned to lineup
2024-01-17,Knicks,Jalen Brunson,,returned to lineup
2024-01-17,Raptors,Gradey Dick,,returned to lineup
2024-01-17,Raptors,Christian Koloko,,returned to lineup
2024-01-18,76ers,Danuel House Jr.,,returned to lineup
2024-01-18,Bulls,Patrick Williams,,returned to lineup
2024-01-18,Suns,Yuta Watanabe,,returned to lineup
2024-01-19,Pistons,,Isaiah Stewart,sprained left ankle (DTD)
2024-01-20,Cavaliers,,Caris LeVert,sprained right wrist (DTD)
2024-01-20,Grizzlies,,Xavier Tillman,sore left knee (DTD)
2024-01-22,Grizzlies,Xavier Tillman,,returned to lineup
2024-01-22,Pistons,Isaiah Stewart,,returned to lineup
2024-01-23,Pacers,,Jalen Smith,sore lower back (DTD)
2024-01-24,Cavaliers,Caris LeVert,,returned to lineup
2024-01-24,Grizzlies,,Santi Aldama,sore right knee (DTD)
2024-01-24,Lakers,,Cam Reddish,sprained right ankle (DTD)
2024-01-24,Rockets,,Jabari Smith Jr.,sprained left ankle (DTD)
2024-01-25,76ers,,Tobias Harris,illness (DTD)
2024-01-25,Cavaliers,,Ty Jerome,surgery on right ankle (out for season)
2024-01-25,Pacers,Jalen Smith,,returned to lineup
2024-01-26,Grizzlies,Santi Aldama,,returned to lineup
2024-01-26,Pelicans,,Zion Williamson,bruised left foot (DTD)
2024-01-27,76ers,,Joel Embiid,sore left knee (DTD)
2024-01-27,Bulls,,Patrick Williams,sore left foot (DTD)
2024-01-27,Hornets,,Frank Ntilikina,left hip injury (DTD)
2024-01-27,Pelicans,Zion Williamson,,returned to lineup
2024-01-28,Hawks,,Dejounte Murray,tightness in right hamstring (DTD)
2024-01-28,Pistons,,Cade Cunningham,left knee injury (DTD)
2024-01-29,Grizzlies,,Vince Williams Jr.,sore left knee (DTD)
2024-01-29,Grizzlies,,Ziaire Williams,sore left hand (DTD)
2024-01-29,Hornets,Frank Ntilikina,,returned to lineup
2024-01-29,Knicks,,O.G. Anunoby,right elbow inflammation (DTD)
2024-01-30,76ers,,Marcus Morris,plantar fasciitis in left foot (DTD)
